País,Instituição,Página web,Código Erasmus,Áreas,Estudantes para Estudos,,,Estudantes para Estágio,,,Mobilidade de Staff Ensino,,Mobilidade de Staff Formação,,Válido,Em renovação,Número de Estudantes por ano,Número de Meses por Estudante,Ciclo de Estudos,Número de Estudantes por ano,Número de Meses por Estudante,Ciclo de Estudos,Número de Docentes,Duração possível da Mobilidade (Mínimo 8 horas),Número de Docentes,Duração possível da Mobilidade,,
ALEMANHA - DE,HNU - Neu Ulm,https://www.hnu.de/en/,D ULM03,GE,4,5,1º/2º,N/A,N/A,N/A,2,5 dias,N/A,N/A,SIM,N/A
BÉLGICA - BE,VIVES University of Applied Sciences,https://www.vives.be/en/vives-international,BE BRUGGE11 / BE KOTRIJ01,EI - GT - GE,1+1+4,5,1º/2º,4,3,N/A,2,5 dias,N/A,N/A,SIM,SIM
BÉLGICA - BE,Karel de Grote University College,https://www.kdg.be/en,B ANTWERP59,RH - GE,2+2,5,1º,N/A,N/A,N/A,1,5 dias,1+1,5 dias,SIM,SIM
BÉLGICA - BE,Thomas More Kempen Vzw,https://www.thomasmore.be/en/welcome,B GEEL07,EI - EST,2+2,5,1º,2 (somente EI),5,1º,4,8 dias,2 (somente EI),8 dias,SIM,N/A
BÉLGICA - BE,Thomas More Mechelen-Antwerpen,https://www.thomasmore.be/en/welcome,B  MECHELE14,GE - RH -GT,3+3+3,5,1º,N/A,N/A,1º,2+2+2,5 dias,N/A,N/A,SIM,N/A
BÉLGICA - BE,PXL,pxl.be,B HASSELT22,EI - GE,4,5,1º,N/A,N/A,N/A,2,5 dias,2,5 dias ,SIM,N/A
BULGÁRIA - BG,University of Economics - Varna,https://ue-varna.bg/en,BG VARNA04,GE - GT - EI ,2+2+2+2,5,1º/2º,TBD,TBD,TBD,2,7 dias,1,7 dias,SIM,N/A
BULGÁRIA - BG,NIVERSITET PO BIBLIOTEKOZNANIE I INFORMACIONNI TEHNOLOGII,unibit.bg ,BG SOFIA24,EI ,2,10,1º/2º,N/A,N/A,N/A,4,5 dias,2,5 dias,SIM,N/A
CHIPRE - CY,College of Tourism and Hotel Management,https://www.cothm.ac.cy/,CY NICOSIA10,GE - GT,6,5,1º,N/A,N/A,N/A,2,10 dias,2,10 dias,SIM,N/A
CHIPRE - CY,The Cypiom,https://cima.ac.cy/,CY NICOSIA32,GE,5,5,1º/2º,N/A,N/A,N/A,4,10 dias,4,10 dias,SIM,N/A
